Rank,Player Name,Player Country,Player Position,Transfer Player Age,From Team Name,To Team Name,Transfer Season,Transfer Fee
1,Cristiano Ronaldo,24,Portugal,LW,Manchester United,Real Madrid,09/10,94000000
2,Gareth Bale,24,Wales,LW,Tottenham Hotspur,Real Madrid,13/14,91000000
3,Zinédine Zidane,29,France,AM,Juventus Turin,Real Madrid,01/02,73500000
4,Zlatan Ibrahimovic,27,Sweden,CF,Inter Mailand,FC Barcelona,09/10,69500000
5,Kaká,27,Brazil,AM,AC Mailand,Real Madrid,09/10,65000000
6,Edinson Cavani,26,Uruguay,CF,SSC Neapel,FC Paris Saint-Germain,13/14,64500000
7,Falcao,27,Colombia,CF,Atlético Madrid,AS Monaco,13/14,60000000
8,Luís Figo,27,Portugal,RW,FC Barcelona,Real Madrid,00/01,60000000
9,Fernando Torres,26,Spain,CF,FC Liverpool,FC Chelsea,10/11,58500000
10,Neymar,21,Brazil,LW,FC Santos,FC Barcelona,13/14,57000000
11,Hulk,26,Brazil,RW,FC Porto,Zenit St. Petersburg,12/13,55000000
12,Hernán Crespo,25,Argentina,CF,FC Parma,Lazio Rom,00/01,55000000
13,Gianluigi Buffon,23,Italy,GK,FC Parma,Juventus Turin,01/02,54200000
14,Mesut Özil,24,Germany,AM,Real Madrid,FC Arsenal,13/14,50000000
15,Gaizka Mendieta,27,Spain,RM,FC Valencia,Lazio Rom,01/02,48000000
16,Falcao,25,Colombia,CF,FC Porto,Atlético Madrid,11/12,47000000
17,Andriy Shevchenko,29,Ukraine,CF,AC Mailand,FC Chelsea,06/07,46000000
18,Rio Ferdinand,23,England,CB,Leeds United,Manchester United,02/03,46000000
19,James Rodríguez,21,Colombia,RW,FC Porto,AS Monaco,13/14,45000000
20,Kun Agüero,23,Argentina,CF,Atlético Madrid,Manchester City,11/12,45000000
21,Christian Vieri,26,Italy,CF,Lazio Rom,Inter Mailand,99/00,45000000
22,Ronaldo,25,Brazil,CF,Inter Mailand,Real Madrid,02/03,45000000
23,Robinho,24,Brazil,SS,Real Madrid,Manchester City,08/09,43000000
24,Juan Sebastián Verón,26,Argentina,CM,Lazio Rom,Manchester United,01/02,42600000
25,Thiago Silva,27,Brazil,CB,AC Mailand,FC Paris Saint-Germain,12/13,42000000
26,Javier Pastore,22,Argentina,AM,US Palermo,FC Paris Saint-Germain,11/12,42000000
27,Rui Costa,29,Portugal,AM,AC Florenz,AC Mailand,01/02,42000000
28,Lilian Thuram,29,France,RB,FC Parma,Juventus Turin,01/02,41500000
29,Pavel Nedved,28,Czech Republic,LM,Lazio Rom,Juventus Turin,01/02,41200000
30,Andy Carroll,22,England,CF,Newcastle United,FC Liverpool,10/11,41000000
31,Fernandinho,28,Brazil,CM,Shakhtar Donetsk,Manchester City,13/14,40000000
32,Eden Hazard,21,Belgium,LW,OSC Lille,FC Chelsea,12/13,40000000
33,Javi Martínez,24,Spain,DM,Athletic Bilbao,FC Bayern München,12/13,40000000
34,Lucas,20,Brazil,RW,FC São Paulo,FC Paris Saint-Germain,12/13,40000000
35,Axel Witsel,23,Belgium,CM,Benfica Lissabon,Zenit St. Petersburg,12/13,40000000
36,David Villa,28,Spain,CF,FC Valencia,FC Barcelona,10/11,40000000
37,Marc Overmars,27,Netherlands,LW,FC Arsenal,FC Barcelona,00/01,40000000
38,Dimitar Berbatov,27,Bulgaria,CF,Tottenham Hotspur,Manchester United,08/09,38000000
39,Fernando Torres,23,Spain,CF,Atlético Madrid,FC Liverpool,07/08,38000000
40,Michael Essien,22,Ghana,DM,Olympique Lyon,FC Chelsea,05/06,38000000
41,David Beckham,28,England,CM,Manchester United,Real Madrid,03/04,37500000
42,Mario Götze,21,Germany,AM,Borussia Dortmund,FC Bayern München,13/14,37000000
43,Gonzalo Higuaín,25,Argentina,CF,Real Madrid,SSC Neapel,13/14,37000000
44,Edin Dzeko,24,Bosnia-Herzegovina,CF,VfL Wolfsburg,Manchester City,10/11,37000000
45,Wayne Rooney,18,England,SS,FC Everton,Manchester United,04/05,37000000
46,Didier Drogba,26,Cote d'Ivoire,CF,Olympique Marseille,FC Chelsea,04/05,37000000
47,Filippo Inzaghi,27,Italy,CF,Juventus Turin,AC Mailand,01/02,37000000
48,Arjen Robben,23,Netherlands,RW,FC Chelsea,Real Madrid,07/08,36000000
49,Hernán Crespo,27,Argentina,CF,Lazio Rom,Inter Mailand,02/03,36000000
50,Javier Saviola,19,Argentina,SS,Club Atlético River Plate,FC Barcelona,01/02,35900000
